7. 6464 Canoga Ave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPOSED APARTMENT PROJECT – SPACE ALLOCATION ANALYSIS (BASED ON USER DESIGN INPUT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross building area (GBA) & gross floor area (GFA) analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Height and Story Distribution Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Building height type,,,,,3. High-Rise,,,,"The building height type for the proposed apartment (e.g., Low-Rise, Mid-Rise, High-Rise).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Above grade height,,,,,,85,FT,,The building height of the proposed apartment from ground level to roof.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Building height - Below grade,,,,,,20,FT,,The building height of the proposed apartment from the lowest occupied basement floor to the ground level.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total of building height,,,,,,105,FT,,The building height (above-grade and subterranean).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories (Above Grade),,,,,,8,,,The number of above-ground floors in the new apartment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories (Below Grade),,,,,,2,,,The number of underground or basement floors for parking in the new apartment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total of stories,,,,,,10,,,Total number of floors in the new apartment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories (for dwelling units),,,,,,5.9,,,Floors used for residential dwelling units.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories (for mix use),,,,,,0.7,,,Floors used for mixed-use spaces (support area + indoor amenities + management…),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories (for parking),,,,,,3.4,,,Floors allocated for parking + spaces/rooms in basements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.30%,,,0.80%,,,,,,
,Total of stories,,,,,,10,,,Total number of floors in the new apartment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories (podium parking),,,,,,1.4,,,Number of above-ground podium parking floors.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories (underground parking),,,,,,2,,,Number of underground or basement parking floors.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories (for parking),,,,,,3.4,,,Floors allocated for parking + spaces/rooms in basements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parking & Vehicle Access Areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Surface parking stalls,,,,,50,Stall(s),,,Number of parking stalls located on ground level (open surface).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Podium parking stalls,,,,,138,Stall(s),,,Number of parking stalls located above ground within the building podium.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Underfround parking stalls,,,,,199,Stall(s),,,Number of parking stalls located below ground level.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leased parking stalls,,,,,-,Stall(s),,,Number of parking stalls rented externally from other properties.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Parking stall (req),,,,,387,Stall(s),,,Total number of parking stalls required by zoning or code.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Residential parking stall (req),,,,,387,Stall(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Retail parking stall (req),,,,,0,Stall(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Parking stall (req),,,,,387,Stall(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EV parking stall,,,,,116,Stall(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Standard parking stall,,,,,271,Stall(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Parking stall (req),,,,,387,Stall(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ref. parking code:,,,DBL near transit (affordability thresholds) — §65915(p)(2) (> 40% moderate-income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unit,,,,,Qty,,Stalls/unit,,Req. Stalls,,,Parking & Vehicle Access Areas,,,,,,Has?,GSF,,,Building Area,,,Floor Area,,,,,,,,,,,,,,,,,,,,,,,,,,
,Studio,,,,,83,,1,,83,,,Parking - Indoor,,,,,,TRUE,"134,800 SF",,,"134,800 SF",,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
,1 Bedroom,,,,,144,,1.5,,216,,,Parking - Surface Lot,,,,,,TRUE,"15,342 SF",,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
,2 Bedroom,,,,,53,,1.5,,79.5,,,Loading Dock,,,,,,TRUE,250 SF,,,250 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
,3 Bedroom,,,,,4,,2,,8,,,Temp Loading Zone / Ride-share,,,,,,TRUE,800 SF,,,800 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
,Residential parking stall (required),,,,,,,,,387,,,Total,,,,,,,"151,192 SF",,,"135,850 SF",,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residential area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Is affordable project?,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Has W/D in dwelling unit?,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type of Residential Unit,,,,,2. Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of bedroom,,,,,262,,Bedroom(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of dwelling unit,,,,,284,,Unit(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of res. occupants,,,,,696,,People(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of dwelling unit/floor,,,,,48,,DU/Floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dwelling unit,,,Qty of unit,,Bedrooms,,People/Unit,,Occupants,,% Occupant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Studio,,,83,,0,,2,,166,,24.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1 Bedroom,,,144,,144,,2,,288,,41.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2 Bedroom,,,53,,106,,4,,212,,30.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3 Bedroom,,,4,,12,,6,,24,,3.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,284,,262,,,,690,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dwelling units,,,,,,,,Has?,% SF,,,NSF,,,Unit Count,,,Room Size,,,Width,,,Depth,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Studio + 1 Bath (Typical),,,,,,,,TRUE,21.70%,,,"51,638 SF",,,83,,,622 SF,,,17.7 FT,,,35.2 FT,,,,,,,29.20%,21.70%,,,,,,,,,,,,,,,,,,,
,1 Bedroom + 1 Bath (Typical),,,,,,,,TRUE,51.10%,,,"121,769 SF",,,144,,,846 SF,,,26.4 FT,,,32.1 FT,,,,,,,50.70%,51.10%,,,,,,,,,,,,,,,,,,,
,2 Bedroom + 2 Bath (Typical),,,,,,,,TRUE,25.10%,,,"59,852 SF",,,53,,,"1,129 SF",,,37.8 FT,,,29.9 FT,,,,,,,18.70%,25.10%,,,,,,,,,,,,,,,,,,,
,2 Bedroom + 1 Bath,,,,,,,,TRUE,-,,,-,,,-,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2 Bedroom + 2 Bath + Powder,,,,,,,,TRUE,-,,,-,,,-,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3 Bedroom + 2 Bath,,,,,,,,TRUE,2.20%,,,"5,242 SF",,,4,,,"1,310 SF",,,43.7 FT,,,30.0 FT,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3 Bedroom + 2 Bath + Powder,,,,,,,,TRUE,-,,,-,,,-,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,100%,,,"238,501 SF",,,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Circulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Residential corridor width,,,,,60,,IN,,The clear width of the residential corridor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vestibule - Stair SF/FL,,,,,122,,SF/floor,,The net floor area of stair vestibules on a typical floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elevator -Passenger SF/floor,,,,,248,,SF/floor,,The net floor area occupied by passenger elevator shafts on a typical floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elevator - Freight SF/floor,,,,,128,,SF/floor,,The net floor area occupied by freight elevator shafts in a typical floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stair SF/floor,,,,,257,,SF/floor,,The net floor area occupied by stair shafts in a typical floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of Elevator - Passenger,,,,,4,,,,The total number of passenger elevators in a typical floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of Elevator - Freight,,,,,1,,,,The total number of freight elevators in a typical floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of Stair,,,,,3,,,,The total number of stairs in a typical floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Circulation,,,,,,,,Has?,GSF,,,Building Area,,,Floor Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Corridor - Residential,,,,,,,,TRUE,"18,866 SF",,,"18,866 SF",,,"18,866 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.50%
,Vestibule - Elevator Lobby,,,,,,,,TRUE,"3,045 SF",,,"3,045 SF",,,"3,045 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.90%
,Vestibule - Stair,,,,,,,,TRUE,"1,218 SF",,,"1,218 SF",,,"1,218 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.70%
,Vestibule - Entry Wind Lobby,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shaft - Elevator - Passenger,,,,,,,,TRUE,"2,444 SF",,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shaft - Elevator - Freight,,,,,,,,TRUE,"1,260 SF",,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shaft - Stair,,,,,,,,TRUE,"2,535 SF",,,"2,535 SF",,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.90%
,Wheelchair Lift,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,"29,368 SF",,,"25,664 SF",,,"23,129 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Support Areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Has trash chute?,,,,,,,,TRUE,Indicates whether the apartment building design includes vertical trash chute system for waste disposal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of bicycle repair area,,,,,1,,,,Number of designated bicycle repair areas provided within the project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bicycle parking - short term,,,,,8,,Stall(s),,Number of short-term bicycle parking spaces located near building entrances for visitors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bicycle parking - long term,,,,,71,,Stall(s),,Number of long-term bicycle parking spaces in secure or covered areas for residents or staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of W&D in com. laundry rm.,,,,,29,,W&D,,Number of washer and dryer units installed in the common laundry room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Parcel locker comp. (req),,,,,57,,locker(s),,Number of required parcel locker compartments provided for package deliveries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tenant modules,,,,,28,,module(s),,Number of tenant-specific modular spaces or functional units included in the project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of storage - General,,,,,4,,,,Number of general or maintenance storage rooms allocated within the building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of storage - Janitor's closet,,,,,6,,,,Number of janitorial storage closets provided for cleaning supplies and equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of cold storage delivery rm.,,,,,2,,,,Number of cold storage delivery rooms available for perishable goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of storage Room - Parcel,,,,,2,,,,Number of parcel storage rooms designated for holding delivered packages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Support Areas,,,,,,,,Has?,GSF,,,Building Area,,,Floor Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bicycle Repair Area,,,,,,,,TRUE,101 SF,,,101 SF,,,101 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bicycle Room,,,,,,,,TRUE,"1,975 SF",,,"1,975 SF",,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19%
,Common Laundry Room,,,,,,,,TRUE,912 SF,,,912 SF,,,912 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9%
,Elevator Machine Rm. (Interior),,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elevator Machine Rm (Roof),,,,,,,,TRUE,177 SF,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entry Lobby,,,,,,,,TRUE,"3,459 SF",,,"3,459 SF",,,"3,459 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33%
,Mail Room / Mail Area,,,,,,,,TRUE,510 SF,,,510 SF,,,510 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5%
,Storage Rm.- General,,,,,,,,TRUE,406 SF,,,406 SF,,,406 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4%
,Storage Rm.- Janitor's Closet,,,,,,,,TRUE,219 SF,,,219 SF,,,219 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Storage Rm. - Cold Storage Delivery Rm.,,,,,,,,TRUE,203 SF,,,203 SF,,,203 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Storage Rm. - Parcels,,,,,,,,TRUE,203 SF,,,203 SF,,,203 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trash - Trash room at res. Floor (Typ.),,,,,,,,TRUE,913 SF,,,913 SF,,,913 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9%
,Trash - Trash vestibules at res. floors (Typ.),,,,,,,,TRUE,866 SF,,,866 SF,,,866 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8%
,Trash - Recycling room,,,,,,,,TRUE,298 SF,,,298 SF,,,298 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trash - Compactor room,,,,,,,,TRUE,284 SF,,,284 SF,,,284 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trash - Compost room,,,,,,,,TRUE,248 SF,,,248 SF,,,248 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,"10,777 SF",,,"10,599 SF",,,"8,624 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff / Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of leasing office,,,,,1,,,,Number of leasing office room provided for tenent services and leasing operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of manager's office,,,,,1,,,,Number of manager's office rooms designated for on-site building management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of cameras,,,,,88,,,,Number of security cameras installed within the project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of staff lockers & showers,,,,,6,,,,Number of locker and shower facilities provided for building staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Staff / Management,,,,,,,Color,Has?,GSF,,,Building Area,,,Floor Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leasing Office,,,,,,,,TRUE,101 SF,,,101 SF,,,101 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6%
,Manager's Office,,,,,,,,TRUE,101 SF,,,101 SF,,,101 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6%
,Parking Control Room,,,,,,,,TRUE,112 SF,,,112 SF,,,112 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7%
,CCTV / IT / Security Equipment rm,,,,,,,,TRUE,136 SF,,,136 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8%
,Staff Break Room,,,,,,,,TRUE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Staff Lockers & Showers,,,,,,,,TRUE,"1,114 SF",,,"1,114 SF",,,"1,114 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68%
,Staff Restroom,,,,,,,,TRUE,62 SF,,,62 SF,,,62 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,"1,627 SF",,,"1,627 SF",,,"1,491 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open space analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requirement:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Common open space (req),,,,,"15,825 SF",,,,The total area of shared outdoor or indoor open space required by LAMC for all residents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Private open space,,,,,"14,200 SF",,,,"The total area of balconies, patios, or other open spaces reserved for the exclusive use of individual dwelling units",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Open Space (req),,,,,"30,025 SF",,,,The minimum open space area mandated by the LAMC for the project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Recreation room (max),,,,,"7,506 SF",,,,The maximum amount of recreation room space that can be counted toward indoor amenity requirements (LAMC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Outdoor Amenity Space (req),,,,,"8,319 SF",,,,The minimum outdoor amenity area that must be provided to meet project requirements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Common open space (req),,,,,"15,825 SF",,,,The total area of shared outdoor or indoor open space required by LAMC for all residents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Design:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indoor Amenity Space,,,,,"7,966 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Outdoor Amenity Space,,,,,"13,683 SF",,>,"8,319 SF",,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Common open space,,,,,"21,649 SF",,>,"15,825 SF",,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Common open space,,,,,"21,649 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Private open space,,,,,"14,200 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Open Space,,,,,"35,849 SF",,>,"30,025 SF",,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amenities – Indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amenity priority for resident cohort:,,,,,,2. Community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indoor Amenity Space (req.),,,,,"7,506",,SF,,The minimum indoor amenity area required by zoning or municipal code.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Corridor - Indoor Amenities,,,,,"1,651",,SF,,The portion of corridor area allocated or credited toward indoor amenity space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amenities – Indoor,,,,,,,,Has?,GSF,,,Building Area,,,Floor Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Art Studio,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13%
,Bar / Café Nook,,,,,,,,TRUE,"1,003 SF",,,"1,003 SF",,,"1,003 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11%
,Business Center / Coworking,,,,,,,,TRUE,895 SF,,,895 SF,,,895 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5%
,Children’s Play Area,,,,,,,,TRUE,420 SF,,,420 SF,,,420 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7%
,Commercial Kitchen,,,,,,,,TRUE,536 SF,,,536 SF,,,536 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17%
,Community / Multi-Purpose Room,,,,,,,,TRUE,"1,364 SF",,,"1,364 SF",,,"1,364 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%
,Concierge Desk,,,,,,,,TRUE,253 SF,,,253 SF,,,253 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Conference Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13%
,Dining Room,,,,,,,,TRUE,"1,003 SF",,,"1,003 SF",,,"1,003 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dog Washing Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fitness Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7%
,Game Room,,,,,,,,TRUE,557 SF,,,557 SF,,,557 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Golf Simulator Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5%
,Library / Reading Lounge,,,,,,,,TRUE,420 SF,,,420 SF,,,420 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Massage / Treatment Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Podcast Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Recording Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
